id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath_change_percentage,atl_change_percentage
hyperliquid,hype,Hyperliquid,20.41,6823469747,29,20433747700.0,275901461.0,22.07,18.92,0.208887,1.03404,-67280052.56798267,-0.97638,333928180.0,999990391.0,1000000000.0,-41.39158,437.94962
wrapped-eeth,weeth,Wrapped eETH,3421.05,6427358699,30,6427358699.0,14433825.0,3507.58,3334.42,-62.66953189754986,-1.79892,-94900852.73978615,-1.45503,1880363.916535778,1880363.916535778,,-20.68736,53.27397
usds,usds,USDS,0.999773,5830033467,31,5830033467.0,27625437.0,1.006,0.99072,0.00079354,0.07944,106252792.0,1.85634,5832469339.009742,5817710205.58628,,-5.53839,5.32534
near,near,NEAR Protocol,4.96,5810462773,32,6107998189.0,332371138.0,5.14,4.88,-0.07727124026715604,-1.53286,-87347717.34213924,-1.48102,1169607113.0,1229498993.0,,-75.64246,845.06064
ethena-usde,usde,Ethena USDe,0.997336,5773220243,33,5773220243.0,108622025.0,1.007,0.99183,9.742e-05,0.00977,-10381349.40669632,-0.1795,5787319676.461266,5787319680.17743,,-3.27968,7.39625
aptos,apt,Aptos,8.91,4982974756,34,10114970743.0,411705413.0,9.19,8.5,0.101223,1.14974,62436619.0,1.2689,559221050.679073,1135166209.599862,,-55.17357,189.94142
internet-computer,icp,Internet Computer,10.3,4956385110,35,5467897462.0,222898266.0,10.83,9.99,-0.09148295014123597,-0.88059,-42980131.37991238,-0.85971,479095218.2852759,528539140.9811402,,-98.52374,261.02304
aave,aave,Aave,278.72,4195332306,36,4462234707.0,639916934.0,298.87,274.45,-8.997767335449907,-3.12731,-133007491.07141638,-3.07294,15042982.115953704,16000000.0,16000000.0,-57.69888,975.58971
mantle,mnt,Mantle,1.18,3964459022,37,7327924553.0,171769114.0,1.22,1.13,0.01017471,0.8734,35097577.0,0.89321,3364694382.83684,6219316794.99,6219316794.99,-23.42592,282.57838
crypto-com-chain,cro,Cronos,0.14061,3831383752,38,4223832332.0,28445091.0,0.143262,0.135509,0.0008688,0.62172,23082674.0,0.60611,27212612509.39706,30000000000.0,,-85.45985,1058.22018
mantra-dao,om,MANTRA,3.96,3804027912,39,7145533593.0,126931998.0,4.12,3.84,-0.003354466505678833,-0.0846,-4486085.120121002,-0.11779,959847242.6600001,1802989061.77,,-12.82329,22857.78764
ethereum-classic,etc,Ethereum Classic,25.22,3791015297,41,5314585708.0,164108462.0,25.74,24.41,0.0084433,0.03348,-4685022.941432953,-0.12343,150297119.4409128,210700000.0,210700000.0,-84.83784,4019.05333
polygon-ecosystem-token,pol,POL (ex-MATIC),0.449912,3786101796,40,4650679712.0,90875831.0,0.463875,0.442226,-0.008456690631809705,-1.84496,-87982567.93374252,-2.27105,8412603368.546128,10333669277.93766,,-65.01296,57.26116
render-token,render,Render,7.21,3738121801,42,3844700066.0,250219496.0,7.63,6.93,-0.051858283589365506,-0.71365,-37407082.16427469,-0.99078,517697726.6875945,532457899.9675945,,-46.3958,19692.1974
monero,xmr,Monero,195.78,3615565828,43,3615565828.0,52938105.0,199.76,189.2,1.57,0.81087,24732743.0,0.68877,18446744.07370955,18446744.07370955,,-63.75145,90837.25656
vechain,vet,VeChain,0.04433242,3594012168,44,3815905750.0,71576501.0,0.04641497,0.04328847,-0.000882524710161807,-1.95184,-90735116.54102421,-2.46245,80985041177.0,85985041177.0,86712634466.0,-84.13782,2224.89408
bittensor,tao,Bittensor,427.05,3478645505,45,8968065357.0,192636395.0,460.28,423.09,-30.129023587673714,-6.59019,-238365791.2065196,-6.41283,8145743.0,21000000.0,21000000.0,-43.75441,1282.15956
dai,dai,Dai,0.999965,3389772957,46,3389772957.0,125457162.0,1.0,0.999829,-0.0001552243549795,-0.01552,-17747899.49439478,-0.52084,3389884829.330446,3389884829.330446,,-17.95652,13.38986
fetch-ai,fet,Artificial Superintelligence Alliance,1.29,3374684514,47,3516585125.0,396493811.0,1.37,1.27,-0.026171895470685325,-1.98138,-89486096.57630396,-2.58319,2604959126.672,2714493896.672,2714493896.672,-62.4033,15796.08801
tokenize-xchange,tkx,Tokenize Xchange,42.14,3371094968,48,4214079464.0,25939019.0,43.21,41.76,-0.8505483710777995,-1.97858,-59956278.66498566,-1.74746,79995999.05112354,100000000.0,100000000.0,-15.90038,38022.04652
filecoin,fil,Filecoin,5.08,3157436868,49,9974521968.0,292259322.0,5.21,4.94,-0.03307080831095455,-0.6462,-21562567.524172306,-0.67828,620342075.0,1959695764.0,1959695764.0,-97.84484,93.27322
arbitrum,arb,Arbitrum,0.743743,3136851543,50,7450755626.0,439124128.0,0.774052,0.732076,-0.02525438234840982,-3.28407,-112031957.6994071,-3.44832,4210111968.0,10000000000.0,10000000000.0,-68.81926,72.6939
algorand,algo,Algorand,0.360054,3015806329,51,3015806400.0,276921396.0,0.368943,0.337369,0.00919001,2.61925,80313287.0,2.73594,8366775197.113113,8366775393.524162,10000000000.0,-89.86341,312.48451
virtual-protocol,virtual,Virtuals Protocol,2.99,2995407983,52,2995407983.0,651862382.0,3.51,2.95,-0.28380621273910434,-8.65897,-270472666.4624071,-8.28177,1000000000.0,1000000000.0,1000000000.0,-40.58312,40101.1183
kaspa,kas,Kaspa,0.113011,2882600722,53,2882606520.0,60392683.0,0.117256,0.111289,-0.002549988779679963,-2.20662,-55750841.721701145,-1.89735,25495995250.51138,25496046528.76063,28704026601.0,-45.40599,66099.51161
okb,okb,OKB,47.31,2838156504,54,11161413987.0,6915714.0,47.99,46.5,0.36522,0.77797,21443292.0,0.76129,60000000.0,235957685.3,300000000.0,-35.78793,8062.24605
ethena,ena,Ethena,0.893229,2719892196,55,13452326165.0,607905272.0,0.966287,0.871806,-0.04367687803512866,-4.66182,-111087334.90629625,-3.92399,3032812500.0,15000000000.0,,-40.79035,360.64966
cosmos,atom,Cosmos Hub,6.46,2525313662,56,2526875727.0,184743539.0,6.62,6.27,-0.004313782277126421,-0.06677,-523971.02359199524,-0.02074,390688369.813272,390930035.085365,,-85.36503,460.74346
optimism,op,Optimism,1.75,2370270868,57,7531325371.0,334205564.0,1.82,1.71,-0.027693642962357323,-1.55583,-32482126.659122467,-1.35187,1351719035.0,4294967296.0,4294967296.0,-63.83887,335.58812
gatechain-token,gt,Gate,18.32,2301473307,58,5487735129.0,16339692.0,18.51,17.97,0.108932,0.59812,-3268605.2334985733,-0.14182,125815473.19980882,300000000.0,,-0.99202,7028.87605
blockstack,stx,Stacks,1.5,2270945611,59,2270945611.0,94790705.0,1.57,1.47,-0.024533172219542765,-1.60762,-30245307.494170666,-1.31433,1508335647.92497,1508346645.92497,1818000000.0,-60.87163,3216.15358
celestia,tia,Celestia,4.5,2185666329,60,4932919345.0,144392687.0,4.71,4.44,-0.1414083505245891,-3.04823,-63095112.994362354,-2.80577,485320215.872873,1095338958.903795,,-78.4041,116.12348
sonic-3,s,Sonic (prev. FTM),0.684541,2174036272,61,2174036272.0,5832497.0,0.743113,0.637036,0.03041256,4.64933,95266066.0,4.58281,3175000000.0,3175000000.0,,-33.42641,10.36993
immutable-x,imx,Immutable,1.23,2119931063,62,2466063979.0,72509896.0,1.27,1.21,-0.03029321106401528,-2.40156,-51677091.0579226,-2.37967,1719283101.3898141,2000000000.0,2000000000.0,-87.02704,226.67676
theta-token,theta,Theta Network,2.11,2108123374,63,2108123374.0,34637833.0,2.18,2.07,-0.0474400527065848,-2.20193,-47646551.48258996,-2.21019,1000000000.0,1000000000.0,1000000000.0,-86.50885,5149.4607
bonk,bonk,Bonk,2.728e-05,2080862455,64,2481402430.0,217429442.0,2.858e-05,2.684e-05,-7.47859881578e-07,-2.66828,-57934185.81679988,-2.70873,76276302233201.05,90958535585183.98,90958750602824.19,-52.97662,31697.55318
pudgy-penguins,pengu,Pudgy Penguins,0.03266929,2061111579,65,2914552398.0,504667944.0,0.0356722,0.03234618,-0.002009386837427872,-5.7943,-125946859.56288433,-5.75873,62860396090.0,88888888888.0,88888888888.0,-52.09792,187.35663
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,93667.0,2045458786,67,2045458786.0,478220792.0,95231.0,91330.0,-452.5760900687601,-0.48085,-20253787.964954615,-0.98047,21877.43792627,21877.43792627,,-13.42806,63.16877
injective-protocol,inj,Injective,20.92,2044365879,66,2091910393.0,170489240.0,21.95,20.71,-0.8810944878397073,-4.0411,-92429118.69115734,-4.3256,97727220.33,100000000.0,,-60.05185,3097.58997
binance-peg-weth,weth,Binance-Peg WETH,3238.66,1958174851,68,1958174851.0,80813623.0,3313.15,3172.59,-56.82391887946005,-1.7243,-33186167.65018606,-1.66651,604999.999959841,604999.999959841,,-21.03792,49.00416
the-graph,grt,The Graph,0.200988,1920744582,69,2170071998.0,92170064.0,0.211054,0.198922,-0.00615621538283373,-2.97194,-55297181.31668663,-2.79838,9548531509.16547,10788004319.0,10788004319.0,-92.90474,287.33543
movement,move,Movement,0.841094,1898850714,70,8439336506.0,301836138.0,0.947883,0.836454,-0.06077852480288637,-6.73915,-109142134.69920778,-5.43538,2250000000.0,10000000000.0,10000000000.0,-41.68586,41.40451
fantom,ftm,Fantom,0.674485,1890674384,71,2141110209.0,260241799.0,0.746991,0.637633,0.02215776,3.39673,60776642.0,3.32131,2803634835.526592,3175000000.0,3175000000.0,-80.45781,35430.24094
worldcoin-wld,wld,Worldcoin,2.08,1834635256,72,20881562540.0,379783275.0,2.2,2.05,-0.10272388605341742,-4.69842,-79369865.6432085,-4.14679,878590982.9812243,10000000000.0,10000000000.0,-82.25307,114.11881
ondo-finance,ondo,Ondo,1.24,1794363863,73,12416211206.0,212465083.0,1.35,1.2,-0.010478461418178098,-0.8383,-8078954.430985212,-0.44822,1445178270.0,10000000000.0,10000000000.0,-41.88201,1413.69222
first-digital-usd,fdusd,First Digital USD,0.99765,1785162383,74,1785162383.0,6863685608.0,1.012,0.980794,0.00378515,0.38085,4525005.0,0.25412,1786532499.62,1786532499.62,,-8.23192,6.22819
rocket-pool-eth,reth,Rocket Pool ETH,3630.02,1668883488,75,1668883488.0,14643066.0,3709.82,3539.94,-63.51834615935559,-1.71972,-36676064.14607215,-2.15038,460600.0715760271,460600.0715760271,,-24.52737,309.51607
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,3342.8,1626550452,76,1626550452.0,4638732.0,3430.77,3261.4,-74.61453309923809,-2.18336,-41101014.94439411,-2.4646,486469.0734261162,486469.0734261162,,-20.61609,61.71954
fasttoken,ftn,Fasttoken,3.79,1622086698,77,3297878708.0,67514931.0,3.84,3.65,0.099284,2.69198,44228453.0,2.80307,428281283.0,870742437.0,1000000000.0,-1.33434,850.59688
sei-network,sei,Sei,0.377719,1589409797,78,3777314016.0,128551787.0,0.393266,0.366882,-0.007457919133534663,-1.93623,-37115003.40969205,-2.28186,4207777777.0,10000000000.0,,-66.77149,297.12287
lombard-staked-btc,lbtc,Lombard Staked BTC,93693.0,1583381956,79,1583381956.0,12427787.0,95022.0,90896.0,-300.3949883731548,-0.31959,9517405.0,0.60472,16910.05853456,16910.05853456,,-13.35313,79.85882
usual-usd,usd0,Usual USD,0.997273,1582931571,80,1582931571.0,888297917.0,1.006,0.99387,-0.001889198063721231,-0.18908,-149732320.45709038,-8.64174,1584261625.547563,1584261625.547563,,-24.73673,2.17331
